f_col,original_feature
f0,ADC::GLCM::cm.auto.corr
f1,ADC::GLCM::cm.clust.prom
f2,ADC::GLCM::cm.clust.shade
f3,ADC::GLCM::cm.contrast
f4,ADC::GLCM::cm.corr
f5,ADC::GLCM::cm.diff.avg
f6,ADC::GLCM::cm.diff.entr
f7,ADC::GLCM::cm.diff.var
f8,ADC::GLCM::cm.dissimilarity
f9,ADC::GLCM::cm.energy
f10,ADC::GLCM::cm.info.corr.1
f11,ADC::GLCM::cm.info.corr.2
f12,ADC::GLCM::cm.inv.diff
f13,ADC::GLCM::cm.inv.diff.mom
f14,ADC::GLCM::cm.inv.diff.mom.norm
f15,ADC::GLCM::cm.inv.diff.norm
f16,ADC::GLCM::cm.inv.var
f17,ADC::GLCM::cm.joint.avg
f18,ADC::GLCM::cm.joint.entr
f19,ADC::GLCM::cm.joint.max
f20,ADC::GLCM::cm.joint.var
f21,ADC::GLCM::cm.sum.avg
f22,ADC::GLCM::cm.sum.entr
f23,ADC::GLCM::cm.sum.var
f24,ADC::GLDZM::dzm.gl.var
f25,ADC::GLDZM::dzm.glnu
f26,ADC::GLDZM::dzm.glnu.norm
f27,ADC::GLDZM::dzm.hgze
f28,ADC::GLDZM::dzm.lde
f29,ADC::GLDZM::dzm.ldhge
f30,ADC::GLDZM::dzm.ldlge
f31,ADC::GLDZM::dzm.lgze
f32,ADC::GLDZM::dzm.sde
f33,ADC::GLDZM::dzm.sdhge
f34,ADC::GLDZM::dzm.sdlge
f35,ADC::GLDZM::dzm.z.perc
f36,ADC::GLDZM::dzm.zd.entr
f37,ADC::GLDZM::dzm.zd.var
f38,ADC::GLDZM::dzm.zdnu
f39,ADC::GLDZM::dzm.zdnu.norm
f40,ADC::GLRLM::rlm.gl.var
f41,ADC::GLRLM::rlm.glnu
f42,ADC::GLRLM::rlm.glnu.norm
f43,ADC::GLRLM::rlm.hgre
f44,ADC::GLRLM::rlm.lgre
f45,ADC::GLRLM::rlm.lre
f46,ADC::GLRLM::rlm.lrhge
f47,ADC::GLRLM::rlm.lrlge
f48,ADC::GLRLM::rlm.r.perc
f49,ADC::GLRLM::rlm.rl.entr
f50,ADC::GLRLM::rlm.rl.var
f51,ADC::GLRLM::rlm.rlnu
f52,ADC::GLRLM::rlm.rlnu.norm
f53,ADC::GLRLM::rlm.sre
f54,ADC::GLRLM::rlm.srhge
f55,ADC::GLRLM::rlm.srlge
f56,ADC::GLSZM::szm.gl.var
f57,ADC::GLSZM::szm.glnu
f58,ADC::GLSZM::szm.glnu.norm
f59,ADC::GLSZM::szm.hgze
f60,ADC::GLSZM::szm.lgze
f61,ADC::GLSZM::szm.lze
f62,ADC::GLSZM::szm.lzhge
f63,ADC::GLSZM::szm.lzlge
f64,ADC::GLSZM::szm.sze
f65,ADC::GLSZM::szm.szhge
f66,ADC::GLSZM::szm.szlge
f67,ADC::GLSZM::szm.z.perc
f68,ADC::GLSZM::szm.zs.entr
f69,ADC::GLSZM::szm.zs.var
f70,ADC::GLSZM::szm.zsnu
f71,ADC::GLSZM::szm.zsnu.norm
f72,ADC::Histogram::ih.cov
f73,ADC::Histogram::ih.entropy
f74,ADC::Histogram::ih.kurt
f75,ADC::Histogram::ih.mad
f76,ADC::Histogram::ih.max
f77,ADC::Histogram::ih.max.grad
f78,ADC::Histogram::ih.max.grad.gl
f79,ADC::Histogram::ih.mean
f80,ADC::Histogram::ih.medad
f81,ADC::Histogram::ih.median
f82,ADC::Histogram::ih.min
f83,ADC::Histogram::ih.min.grad
f84,ADC::Histogram::ih.min.grad.gl
f85,ADC::Histogram::ih.mode
f86,ADC::Histogram::ih.qcod
f87,ADC::Histogram::ih.skew
f88,ADC::Histogram::ih.uniformity
f89,ADC::Histogram::ih.var
f90,ADC::IVHistogram::ivh.I10
f91,ADC::IVHistogram::ivh.I10minusI90
f92,ADC::IVHistogram::ivh.I90
f93,ADC::IVHistogram::ivh.V10
f94,ADC::IVHistogram::ivh.V10minusV90
f95,ADC::IVHistogram::ivh.V90
f96,ADC::Intensity::loc.peak.global
f97,ADC::Intensity::loc.peak.local
f98,ADC::Intensity::stat.P10
f99,ADC::Intensity::stat.P90
f100,ADC::Intensity::stat.cov
f101,ADC::Intensity::stat.energy
f102,ADC::Intensity::stat.iqr
f103,ADC::Intensity::stat.kurt
f104,ADC::Intensity::stat.mad
f105,ADC::Intensity::stat.max
f106,ADC::Intensity::stat.mean
f107,ADC::Intensity::stat.medad
f108,ADC::Intensity::stat.median
f109,ADC::Intensity::stat.min
f110,ADC::Intensity::stat.qcod
f111,ADC::Intensity::stat.range
f112,ADC::Intensity::stat.rmad
f113,ADC::Intensity::stat.rms
f114,ADC::Intensity::stat.skew
f115,ADC::Intensity::stat.sum
f116,ADC::Intensity::stat.var
f117,ADC::Morphological::morph.com
f118,ADC::Morphological::morph.geary.c
f119,ADC::Morphological::morph.moran.i
f120,ADC::NGLDM::ngl.dc.dcnu
f121,ADC::NGLDM::ngl.dc.dcnu.norm
f122,ADC::NGLDM::ngl.dc.energy
f123,ADC::NGLDM::ngl.dc.entr
f124,ADC::NGLDM::ngl.dc.perc
f125,ADC::NGLDM::ngl.dc.var
f126,ADC::NGLDM::ngl.gl.var
f127,ADC::NGLDM::ngl.glnu
f128,ADC::NGLDM::ngl.glnu.norm
f129,ADC::NGLDM::ngl.hde
f130,ADC::NGLDM::ngl.hdhge
f131,ADC::NGLDM::ngl.hdlge
f132,ADC::NGLDM::ngl.hgce
f133,ADC::NGLDM::ngl.lde
f134,ADC::NGLDM::ngl.ldhge
f135,ADC::NGLDM::ngl.ldlge
f136,ADC::NGLDM::ngl.lgce
f137,ADC::NGTDM::ngt.busyness
f138,ADC::NGTDM::ngt.coarseness
f139,ADC::NGTDM::ngt.contrast
f140,ADC::NGTDM::ngt.strength
f141,ADC::NGTDM::ntg.complexity
f142,PSMA::GLCM::cm.auto.corr
f143,PSMA::GLCM::cm.clust.prom
f144,PSMA::GLCM::cm.clust.shade
f145,PSMA::GLCM::cm.contrast
f146,PSMA::GLCM::cm.corr
f147,PSMA::GLCM::cm.diff.avg
f148,PSMA::GLCM::cm.diff.entr
f149,PSMA::GLCM::cm.diff.var
f150,PSMA::GLCM::cm.dissimilarity
f151,PSMA::GLCM::cm.energy
f152,PSMA::GLCM::cm.info.corr.1
f153,PSMA::GLCM::cm.info.corr.2
f154,PSMA::GLCM::cm.inv.diff
f155,PSMA::GLCM::cm.inv.diff.mom
f156,PSMA::GLCM::cm.inv.diff.mom.norm
f157,PSMA::GLCM::cm.inv.diff.norm
f158,PSMA::GLCM::cm.inv.var
f159,PSMA::GLCM::cm.joint.avg
f160,PSMA::GLCM::cm.joint.entr
f161,PSMA::GLCM::cm.joint.max
f162,PSMA::GLCM::cm.joint.var
f163,PSMA::GLCM::cm.sum.avg
f164,PSMA::GLCM::cm.sum.entr
f165,PSMA::GLCM::cm.sum.var
f166,PSMA::GLDZM::dzm.gl.var
f167,PSMA::GLDZM::dzm.glnu
f168,PSMA::GLDZM::dzm.glnu.norm
f169,PSMA::GLDZM::dzm.hgze
f170,PSMA::GLDZM::dzm.lde
f171,PSMA::GLDZM::dzm.ldhge
f172,PSMA::GLDZM::dzm.ldlge
f173,PSMA::GLDZM::dzm.lgze
f174,PSMA::GLDZM::dzm.sde
f175,PSMA::GLDZM::dzm.sdhge
f176,PSMA::GLDZM::dzm.sdlge
f177,PSMA::GLDZM::dzm.z.perc
f178,PSMA::GLDZM::dzm.zd.entr
f179,PSMA::GLDZM::dzm.zd.var
f180,PSMA::GLDZM::dzm.zdnu
f181,PSMA::GLDZM::dzm.zdnu.norm
f182,PSMA::GLRLM::rlm.gl.var
f183,PSMA::GLRLM::rlm.glnu
f184,PSMA::GLRLM::rlm.glnu.norm
f185,PSMA::GLRLM::rlm.hgre
f186,PSMA::GLRLM::rlm.lgre
f187,PSMA::GLRLM::rlm.lre
f188,PSMA::GLRLM::rlm.lrhge
f189,PSMA::GLRLM::rlm.lrlge
f190,PSMA::GLRLM::rlm.r.perc
f191,PSMA::GLRLM::rlm.rl.entr
f192,PSMA::GLRLM::rlm.rl.var
f193,PSMA::GLRLM::rlm.rlnu
f194,PSMA::GLRLM::rlm.rlnu.norm
f195,PSMA::GLRLM::rlm.sre
f196,PSMA::GLRLM::rlm.srhge
f197,PSMA::GLRLM::rlm.srlge
f198,PSMA::GLSZM::szm.gl.var
f199,PSMA::GLSZM::szm.glnu
f200,PSMA::GLSZM::szm.glnu.norm
f201,PSMA::GLSZM::szm.hgze
f202,PSMA::GLSZM::szm.lgze
f203,PSMA::GLSZM::szm.lze
f204,PSMA::GLSZM::szm.lzhge
f205,PSMA::GLSZM::szm.lzlge
f206,PSMA::GLSZM::szm.sze
f207,PSMA::GLSZM::szm.szhge
f208,PSMA::GLSZM::szm.szlge
f209,PSMA::GLSZM::szm.z.perc
f210,PSMA::GLSZM::szm.zs.entr
f211,PSMA::GLSZM::szm.zs.var
f212,PSMA::GLSZM::szm.zsnu
f213,PSMA::GLSZM::szm.zsnu.norm
f214,PSMA::Histogram::ih.cov
f215,PSMA::Histogram::ih.entropy
f216,PSMA::Histogram::ih.kurt
f217,PSMA::Histogram::ih.mad
f218,PSMA::Histogram::ih.max
f219,PSMA::Histogram::ih.max.grad
f220,PSMA::Histogram::ih.max.grad.gl
f221,PSMA::Histogram::ih.mean
f222,PSMA::Histogram::ih.medad
f223,PSMA::Histogram::ih.median
f224,PSMA::Histogram::ih.min
f225,PSMA::Histogram::ih.min.grad
f226,PSMA::Histogram::ih.min.grad.gl
f227,PSMA::Histogram::ih.mode
f228,PSMA::Histogram::ih.qcod
f229,PSMA::Histogram::ih.skew
f230,PSMA::Histogram::ih.uniformity
f231,PSMA::Histogram::ih.var
f232,PSMA::IVHistogram::ivh.I10
f233,PSMA::IVHistogram::ivh.I10minusI90
f234,PSMA::IVHistogram::ivh.I90
f235,PSMA::IVHistogram::ivh.V10
f236,PSMA::IVHistogram::ivh.V10minusV90
f237,PSMA::IVHistogram::ivh.V90
f238,PSMA::Intensity::loc.peak.global
f239,PSMA::Intensity::loc.peak.local
f240,PSMA::Intensity::stat.P10
f241,PSMA::Intensity::stat.P90
f242,PSMA::Intensity::stat.cov
f243,PSMA::Intensity::stat.energy
f244,PSMA::Intensity::stat.iqr
f245,PSMA::Intensity::stat.kurt
f246,PSMA::Intensity::stat.mad
f247,PSMA::Intensity::stat.max
f248,PSMA::Intensity::stat.mean
f249,PSMA::Intensity::stat.medad
f250,PSMA::Intensity::stat.median
f251,PSMA::Intensity::stat.min
f252,PSMA::Intensity::stat.qcod
f253,PSMA::Intensity::stat.range
f254,PSMA::Intensity::stat.rmad
f255,PSMA::Intensity::stat.rms
f256,PSMA::Intensity::stat.skew
f257,PSMA::Intensity::stat.sum
f258,PSMA::Intensity::stat.var
f259,PSMA::Morphological::morph.a.dens.aabb
f260,PSMA::Morphological::morph.approx.vol
f261,Patient::Clinical::PSA
f262,Patient::Clinical::ClinStage
f263,Patient::SUV::SUVPeak
f264,Patient::SUV::SUVmean
f265,Patient::SUV::SUVmin
f266,Patient::SUV::SUVmax
f267,Patient::SUV::SUV-TLG
f268,Patient::Demographics::Age
f269,Patient::Demographics::Height
f270,Patient::Demographics::Weight
f271,Patient::Demographics::BMI
f272,PSMA::Morphological::morph.area
f273,PSMA::Morphological::morph.asphericity
f274,PSMA::Morphological::morph.av
f275,PSMA::Morphological::morph.com
f276,PSMA::Morphological::morph.comp.1
f277,PSMA::Morphological::morph.comp.2
f278,PSMA::Morphological::morph.geary.c
f279,PSMA::Morphological::morph.moran.i
f280,PSMA::Morphological::morph.sph.dispr
f281,PSMA::Morphological::morph.sphericity
f282,PSMA::Morphological::morph.v.dens.aabb
f283,PSMA::Morphological::morph.vol
f284,PSMA::NGLDM::ngl.dc.dcnu
f285,PSMA::NGLDM::ngl.dc.dcnu.norm
f286,PSMA::NGLDM::ngl.dc.energy
f287,PSMA::NGLDM::ngl.dc.entr
f288,PSMA::NGLDM::ngl.dc.perc
f289,PSMA::NGLDM::ngl.dc.var
f290,PSMA::NGLDM::ngl.gl.var
f291,PSMA::NGLDM::ngl.glnu
f292,PSMA::NGLDM::ngl.glnu.norm
f293,PSMA::NGLDM::ngl.hde
f294,PSMA::NGLDM::ngl.hdhge
f295,PSMA::NGLDM::ngl.hdlge
f296,PSMA::NGLDM::ngl.hgce
f297,PSMA::NGLDM::ngl.lde
f298,PSMA::NGLDM::ngl.ldhge
f299,PSMA::NGLDM::ngl.ldlge
f300,PSMA::NGLDM::ngl.lgce
f301,PSMA::NGTDM::ngt.busyness
f302,PSMA::NGTDM::ngt.coarseness
f303,PSMA::NGTDM::ngt.contrast
f304,PSMA::NGTDM::ngt.strength
f305,PSMA::NGTDM::ntg.complexity
